"title","genre","year","release_date","colour","duration","classification","rating","producer","director","writer","actress","synopsis"
"Kedok Ketawa","Drama",1940,NA,"BW",NA,NA,NA,NA,"Jo An Djan",NA,"Oedjang, RS Fatimah, Eddy Kock, Zonder, Soelastri, Basuki Resobowo, S Poniman","Ceritanya sederhana. Sepasang kekasih, penjahat - penggoda dan tokoh penyelamat. Dikemas dengan latar pemandangan di Cibodas yang indah, hasil karya juru kamera yang tergolong handal."
"Kris Mataram","Drama",1940,NA,"BW",NA,NA,NA,"Tjan Hock Siong","Njoo Cheong Seng","Njoo Cheong Seng","Fifi Young, I Martak, Aminah, Mirza, ET Effendi, Omar Rodriga, M Alamsyah, Ijem Sumatra, A Toehamshah, Donny Young, Sally Young, Soeaib","Mengisahkan awal timbulnya pikiran dan pandangan baru (modern), sementara adat (kekolotan) masih amat teguh. Pikiran itu diutarakan lewat percintaan antara putri bangsawan R.A. Rusmini (Fifi Young) dengan pemuda biasa, Bachtiar (Omar Rodriga). Cerita diakhiri dengan kesimpulan kompromistis: tak ada yang salah dalam yang modern maupun tradisi."
"Matjan Berbisik","Drama",1940,NA,"BW",NA,NA,NA,"The Teng Chun, Java Industrial Film","Tan Tjoei Hock","Tan Tjoei Hock","Hadidjah, Moh Mochtar, Bissu, Said","Setelah menyerahkan uang dan menitipkan anaknya Hamid, 4 th, kepada Sanip (Said), Djaja (Bissu) tak pernah muncul. Sanip sendiri punya anak, Usman (6 th). Setelah kedua anak itu dewasa, Usman merasa iri, karena Zainab (Hadidjah) memilih Hamid (Moh. Mochtar). Berbagai usaha yang dilakukan Usman untuk menyingkirkan Hamid, selalu mengalami kegagalan. Sekali waktu Hamid jatuh ke jurang karena keroyokan teman-teman Usman. Hamid dianggap sudah meninggal. Sementara itu Sanip mau menyerakahi uang titipan Djaja, dan Usman yang gagal menggagahi Zainab karena datangnya sosok misterius, mencoba menikahi Zainab secara resmi. Di hari pernikahan sosok misterius datang lagi dan menyaru sebagai Usman. Ketika ijab kabul selsai dilaksanakan, Usman asli datang dan hendak mengeroyok pengantin baru itu tapi digagalkan oleh penghulu. Sanip dan keluarganya lalu memburu pengantin itu."
"Melati Van Agam","Drama",1940,NA,"BW",NA,NA,NA,"The Teng Chun","Tan Tjoei Hock","Parada Harahap","S Soekarti, AB Rachman, R Abdullah, S Thalib, N Ismail, Rochani, Lena, M Sani","Siti Norma (S. Soekarti) adalah seorang gadis yang mengorbankan kebahagiaan diri demi bakti kepada orang tua. Sang kekasih, pemuda miskin Idrus, harus rela melepas Norma menikah dengan pemuda lain yang hartawan. Norma dan Idrus akhirnya bersanding kubur."
"Pah Wongso Pendekar Boediman","Drama",1940,NA,"BW",NA,NA,NA,"Jo Eng Sek",NA,NA,"LV Wijnhamer Jr, Elly Joenara","Barja jatuh cinta pada Siti, anak sang paman, Haji Hartawan. Karena cinta tak berbalas, timbul dendam di hati Barja. Pak Haji dibunuh dan Barja lalu menguasai hartanya. Meski begitu Siti tak terbujuk. Karena frustrasi, Barja malah terjerumus ke perjudian dan akhirnya jadi kepala penjahat. Kemudian, LV Wijnhamer Jr alias Pah Wongso unjuk kebolehan. Ia menyelidiki dan berhasil membongkar kejahatan serta menggulung komplotan Barja."
"Poesaka Terpendam","Thriller",1941,NA,"BW",NA,NA,NA,"Tan Koen Yauw",NA,NA,"Roekiah, Rd Djoemala, Titing, Kartolo, Ismail, Ramli, Wolly SutinahTanggal edar Wednesday, 22 October 1941","Sebuah film yang lengkap. Ada petualangan, ada perkelahian, ada nyanyian, ada lawakan. Masih dilengkapi lagi dengan pemandangan indah di Serang dan Priangan. Ceritanya mengenai harta yang disimpan secara rahassia. Harta itu jadi rebutan para ahli waris, dan ""diramaikan"" lagi oleh kawanan penjahat yang ikut memburu."
"Pah Wongso Tersangka","Drama",1941,NA,"BW",NA,NA,NA,"Wu Tsun",NA,NA,"LV Wijnhamer, Sylvia Hatjirah, S Waldy, M Sarip",NA
"Mega Mendoeng","Drama",1941,NA,"BW",NA,NA,NA,"Ang Hock Liem","Boen Kim Nam",NA,"Rd Soekarno, Oedjang, Ratna Djoewita, Boen Sofiati, Soehaena, Ratnasih, Gamari Fadjar, Moesa","Retnaningsih memilih pergi ke Betawi (Jakarta), meninggalkan suaminya Winanta, putra seorang hartawan di Bandung. R. Kusuma, ayah Winanta, memang sering mendesak agar Winanta menceraikan Retnaningsih. Sayang ayah punya pilihan lain, Fatimah, yang masih ada ikatan keluarga. Tapi, yang mengambil bagian terbesar cerita adalah Kustini, anak Winanta dari Fatimah. Kustini dikhianati Sujono. Hal ini membuat panas Sukatma. Gadis itu difitnah dan Winanta menjatuhkan hukuman. Sukatma senang, Sujono sedih. Ketika menurutkan kata hati, Sujono tiba di Mega Mendung, dan ketemu... Kustini. Happy end."
"Air Mata Iboe","Drama",1941,NA,"BW",NA,NA,NA,"Fred Young","M d'Amour, Njoo Cheong Seng","Njoo Cheong Seng, M d'Amour","Fifi Young, Rd Ismail, Ali Yugo, Soerip, A Sarosa, Soelami, S Poniman, Soenina, N Soelastri, R Koesbini","Sugiati (Fifi Young) menyayangi semua anaknya, Achmad (Rd. Ismail), Idris (S. Poniman), Sumadi (A. Sarosa) dan Supinah (Sulami). Sumadi mendapat perhatian lebih, karena bapaknya, Subagio (Ali Yugo) sering mengkambinghitamkannya. Rupanya, Subagio bermuka dua. Secara diam-diam dia jadi anggota komplotan perampok. Untuk membela ayahnya, Sumadi lalu mengaku menjadi penjahat dan dihukum buang. Subagio merasa berdosa, menderita, sakit, dan meninggal dunia. Sepeninggal Subagio, Sugiati ditolak numpang oleh anak-anaknya yang kaya. Supinah bersedia memelihara ibunya, tapi dia miskin. Akhirnya Sugiati hidup di rumah jompo. Sepulang dari pembuangan, Sumadi kaget melihat saudara-saudaranya. Ia memberi pelajaran secara main hakim sendiri."
"Moestika dari Djenar","Drama",1941,NA,"BW",NA,NA,NA,"Jo Kim Tjan","Jo An Djan",NA,"Dhalia, Rd Mochtar, Djoeriah, Eddie T Effendie, Rd Kosasih",NA
"Tengkorak Hidoep","Adventure",1941,NA,"BW",NA,NA,NA,"The Teng Chun","Tan Tjoei Hock","Tan Tjoei Hock","Tan Tjeng Bok, Moh Mochtar, Misnahati, Bissu","Raden Darmadji dan beberapa kawan pergi ke pulau Mustika. Di dekat tempat tersebut, 10 tahun lalu ada kapal yang ditumpangi saudaranya, tenggelam. Di pulau itu pula 2000 tahun lalu terkubur Maha Daru, setelah bertempur dengan Dewi Gumba. Ketika menyelidiki gua, turun hujan lebat dan kuburan Maha Daru terbelah. Sekeluar dari gua, Darmadji dikejar orang-orang liar. Rumiati, anak perempuannya, ditolong Maha Daru, karena dianggap reinkarnasi Dewi Gumba. Padahal Maha Daru punya maksud jahat terhadap Rumiati. Untung ada seorang pemuda yang hidup di hutan, datang menolong. Sang pemuda dan Rumiati saling jatuh cinta."
"Selendang Delima","Drama",1941,NA,"BW",NA,NA,NA,"Touw Ting Iem","Henry L Duarte",NA,"Celly Young, Asmana, Soerjono",NA
"Noesa Penida","Drama",1941,NA,"BW",NA,NA,NA,"The Teng Chun","Andjar Asmara","Andjar Asmara","Ratna Asmara, Astaman, Rd Ismail, Ali Yugo","Kisah cinta segi tiga antara dua kakak beradik, Jaya dan I Pageh, anak rakyat biasa, dengan Gusti Ayu Pandansari, putri Raja Tabanan, Bali. Raja terbunuh, dan putrinya diselamatkan pengikut setia raja, I Murda. Pandansari sejak kecil sudah akrab dengan Jaya dan Pageh, dan di antara mereka terjalin kasih. Penghalangnya: perbedaan kasta. Walau cenderung memilih Jaya, Pandansari menikah dengan Pageh, sebab percaya akan desas-desus bahwa Jaya mati di pembuangan."
"Ajah Berdosa","Drama",1941,NA,"BW",NA,NA,NA,"Jo Eng Sek","Wu Tsun","Saeroen","M Arief, S Waldy, Elly Joenara, Soetijem",NA
"Koeda Sembrani","Drama",1941,NA,"BW",NA,NA,NA,"Tan Koen Yauw","Wong Bersaudara",NA,"Roekiah, Rd Djoemala, Wolly Sutinah, Kartolo, Husein, Ali, Rd Dadang Ismail",NA
"Aladin dengan Lampoe Wasiat","Fantasy",1941,NA,"BW",NA,NA,NA,"Tan Koen Yauw","Wong Bersaudara",NA,"Elly Joenara, Benny, Wolly Sutinah","Aladin, anak janda miskin, tetap hidup sederhana walau punya lampu wasiat. Lampu itu baru digunakan untuk mengatasi rintangan, misalnya memenuhi permintaan wazir raja, karena Aladin meminang putri raja. Biar nyaris mati, Aladin berhasil memberantas kejahatan wazir yang licik dan menerima waris kerajaan sebagai menantu."
"Pantjawarna","Drama",1941,NA,"BW",NA,NA,NA,"Tjho Seng Han","Njoo Cheong Seng",NA,"Mochtar Widjaja, Dhalia, Idris Martha, Omar Rodriga, S Poniman, Siti Aminah, Iyem Cilacap, Soerip, Fifi Young",NA
"Matula","Drama",1941,NA,"BW",NA,NA,NA,"The Teng Chun, JIF","Tanu Trh","Ferry Kock","Ferry Kock, Dewi Mada, Moh Mochtar, Bissu","Hartawan Johan Bessey punya dua anak perempuan, Emma (20) dan Diana (18). Kemudian ada tokoh bernama Matula, seorang pemuda amat jelek tapi kaya. Suatu ketika ia mendatangi dukun, Bapak Tello, dan minta agar wajahnya diubah menjadi tampan. Ia sedia membayar berapa saja tapi pak dukun minta ""jiwa"". Bapak Tello menggunakan kekuatan ilmu hitamnya untuk membangunkan dan menarik Emma agar bertemu dengan Matula di kebun pala. Paul Hatu, tunangan Emma, membantu calon mertuanya, Johan Bessey, untuk menumpas aksi pak dukun. Hampir saja ""jiwa"" Paul terambil bapak Tello, tapi tercegah oleh senjata bambu khusus dari Johan Bessey. Akhirnya pak dukun mengambil kembali ""jiwa"" pinjaman dari Matula dan si jelek rupa kembali seperti semula. Badannya berbau busuk."
"Asmara Moerni","Drama",1941,NA,"BW",NA,NA,NA,"Ang Hock Liem","Rd Ariffien","Rd Ariffien","Dr AK Gani, Djoewariah",NA
"Djantoeng Hati","Drama",1941,NA,"BW",NA,NA,NA,"Fred Young, SI Liem","Njoo Cheong Seng, M d'Amour","M d'Amour","A Sarosa, Rr Anggraini, Ariati, Chatir Harro","Kisah tentang dua gadis, Karina (Rr Anggraini) dan Roesdjana (Ariati), yang bertentangan sifat dan perilakunya. Karina ""ketimuran"" dan Roesdjana ultra modern. Film ini ingin menunjukkan bahwa modern tidak identik dengan kemajuan."
"Poetri Rimba","Drama",1941,NA,"BW",NA,NA,NA,"The Teng Chun","Inoe Perbatasari","Suska","Aisjah, Loedi, Ali Yugo, Bissu, Soetiati","Waktu berburu di sebuah pulau, Achmadi terpisah dari rombongan, tersesat dan ditangkap penduduk (orang utan) pulau, pimpinan Panglima Kumis Panjang. Tangan kanan panglima itu, Perbada semula akan membakar Achmadi, tapi bisa dicegah. Ternyata Achmadi pernah menyelamatkan Bidasari, anak sang panglima. Kemudian terjalin cinta antara Achmadi dan Bidasari, padahal anak panglima itu telah dipertunangkan dengan Perbada. Orang-orang Perbada menangkap Bidasari dan Panglima. Keduanya lalu dibebaskan oleh Achmadi. Dalam sebuah pertarungan seru, Achmadi berhasil memukul Perbada hingga jatuh ke jurang."
"Garoeda Mas","Drama",1941,NA,"BW",NA,NA,NA,"Jo Kim Tjan","Jo An Djan","Nasroen AS.","Rd Mochtar, Dewi Radiah, ET Effendi, Rd Kosasih, Moesa",NA
"Srigala Item","Drama",1941,NA,"BW",87,NA,NA,"The Teng Chun","Tan Tjoei Hock","TH Tan","Tan Tjeng Bok, Hadidjah, Moh Mochtar, Aisah, M Sani","Djoekri (Tan Tjeng Bok) merebut kekayaan saudaranya, Mardjoeki (Bissoe), dengan kekerasan. Setelah Mardjoeki lenyap, tinggallah anaknya, Mochtar (Moch. Mochtar). Karena ayahnya tak ada, Mochtar diperlakukan sebagai pembantu, sedang Joesoef (M. Sani), anak Djoekri, hidup senang seperti anak hartawan layaknya. Belakangan kekejaman Djoekri yang dibantu mandor Hasan (Itjang), sering dihalangi orang bertopeng (De Zwarte Wolf atau Srigala Item). Maksud Joesoef menikahi Soehaemi (Hadidjah) juga terhalang oleh Srigala Item. Ketika terjadi saling kejar antara Djoekri dan Srigala Item, diketahuilah bahwa Mardjoeki masih hidup. Terbukalah siapa orang bertopeng itu."
"Ikan Doejoeng","Drama",1941,NA,"BW",NA,NA,NA,"Touw Ting Iem","Lie Tek Swie",NA,"Asmanah, Soerjono, A Thys, Poniman, Momo, N Ismail, A Rasjid","Asmara (Asmanah) telah punya pemuda pilihan, Sanusi. Tapi, ayahnya, Rasyid, menerima lamaran Sumantri untuk anaknya, Harun. Harun sendiri telah punya pacar, Emi, yang tak berani mengutarakannya pada sang bapak. Saking jengkelnya, Asmara menyatakan ingin jadi ikan duyung. Ketika melarikan diri bersama Sanusi, dia dihadang sekawanan perampok. Sementara Sanusi menghadapi perampok, Asmara lari entah kemana."
"Panggilan Darah","Drama",1941,NA,"BW",NA,NA,NA,"Tjho Seng Han","Suska",NA,"Dhalia, Soerip, Wolly Sutinah, Mochtar Widjaja","Dua anak yatim (Dhalia dan Soerip) mencoba hidup mandiri di kota. Mereka diterima bekerja oleh keluarga H. Iskak. Istri pak haji itu memperlakukan kedua anak yatim itu secara semena-mena. Mereka lari. Kemudian diketahui bahwa kedua anak yatim itu adalah keponakan H. Iskak. Sibuklah dilakukan pencarian, termasuk lewat iklan. Sesudah diketemukan, salah seorang anak yatim (Dhalia) melontarkan keinginan untuk mendirikan rumah yatim piatu. Maksud baik ini disokong H. Iskak."
"Tjioeng Wanara","Legend",1941,NA,"BW",NA,NA,NA,"Yo Eng Sek","Yo Eng Sek","Rd Ariffien, MA Salamoen","R Sukran, Elly Joenara, AB Djoenaedi, M Arief, S Waldy","Tjioeng Wanara adalah yang menghancurkan raja Galuh, si angkara murka, berkat dukungan rakyat yang menderita."
"Wanita dan Satria","Drama",1941,NA,"BW",NA,NA,NA,"Ang Hock Liem","Rd Ariffien",NA,"Djoewariah, Ratna Djoewita, R Hidajat",NA
"Lintah Darat","Drama",1941,NA,"BW",NA,NA,NA,"Jo Eng Sek","Wu Tsun","Saeroen","Elly Joenara, Satijem, M Arief, Aboebakar Djoenaedi, S Waldy","Meski kakak-adik, Asnah bersifat kasar dan adiknya, Kumala, berbudi halus. Walau Asnah menaruh hati pada Safi'i, namun lelaki itu lebih tertarik pada Kumala yang lembut. Karena kecewa, Asnah lari ke kota dan jadi penyanyi. Ia mendapat banyak uang, tetapi tidak membantu keluarga. Akibatnya, untuk mengobati ibunya yang sakit keras, Kumala terpaksa meminjam pada Karim, seorang lintah darat. Sang ibu tak tertolong, meninggal dunia. Harta peninggalan yang tidak banyak disita oleh Karim sebagai pembayar hutang. Padahal, Asnah adalah istri lintah darat itu. Dalam keadaan luntang-lantung, Kumala bertemu Safi'i, yang menjadi anggota perkumpulan pemberantas praktek lintah darat. Sekali waktu Safi'i mengerahkan massa untuk menyerbu Karim. Asnah sudah dilepas oleh Karim karena bosan. Safi'i dan Kumala hidup bahagia."
"Si Gomar","Drama",1941,NA,"BW",NA,NA,NA,"The Teng Chun","Tan Tjoei Hock","TH Tan","Tan Tjeng Bok, Hadidjah, Moh Mochtar, Bissu, Aysah, M Sani, Said Thalib","Karena serangan perompak, Badjoeri (Tan Tjeng Bok), dan anaknya Soebardja, terlempar ke sungai, sedangkan istrinya, Ramina (Hadidjah), dan anaknya Mariani dibawa para penjahat. Sesudah berhasil lolos, Ramina meninggal dunia, dan minta agar sang penolong, Wirama (Bissoe), merawat dan memelihara Mariani. Di pihak lain Badjoeri juga meninggal dunia setelah ditolong Mansur. Ia juga minta agar Mansur merawat Soebardja. Karena terpisah dan berbeda pula yang merawat, nyaris terjadi pernikahan antara Mariani dan Soebardja. Peristiwa itu tercegah oleh kehadiran Ismail (Moch. Mochtar), saudara sepupu mereka."
"Boedjoekan Iblis","Drama",1941,NA,"BW",NA,NA,NA,"Jo Kim Tjan","Jo An Djan",NA,"Rd Mochtar, ET Effendi, Anwar, Dewi Radiah, Rd Kosasih",NA
"Singa Laoet","Drama",1941,NA,"BW",76,NA,NA,"The Teng Chun","Tan Tjoei Hock","Tan Tjoei Hock","Tan Tjeng Bok, Hadidjah, Bissu, Moh Mochtar","Dalam perkelahian dengan Ibrahim, lawan terbunuh oleh lemparan rencong, sehingga Robin dituduh sebagai pembunuh. Masyarakat mengusir, termasuk Daud yang menaruh hati pada Yasmi, kekasih Robin. Dua puluh tahun kemudian, Mahmud (anak Ibrahim) terpanggil untuk mencari siapa pembunuh ayahnya. Pencarian membawa Mahmud ke pulau Sampajo. Di pulau itulah tinggal Robin, kepala bajak laut dengan gelar ""Singa Laoet"". Mahmud jatuh cinta kepada Miryam, anak Daud dari Yasmi. Karena ditolak cintanya, Hasan menculik Miryam. Dalam suatu perkelahian, Hasan terbunuh oleh Mahmud. Barulah diketahui bahwa Hasan, anak buah Robin, adalah pembunuh Ibrahim."
"Siti Noerbaja","Drama",1941,NA,"BW",NA,NA,NA,"Touw Ting Iem","Lie Tek Swie","Marah Roesli","Asmanah, Momo, Soerjono, A Thys, HA Rasjid",NA
"Elang Darat","Action",1941,NA,"BW",NA,NA,NA,"The Teng Chun","Inoe Perbatasari","Inoe Perbatasari","Astaman, Ali Yugo, Rohana, Salam, Amalia, Louise Gunter, S Aminah, Mas 'Oed","Desa Kresek diganggu gerombolan perampok yang dipimpin Elang Darat. Untuk mengatasi gangguan itu, lurah desa mendatangkan seorang reserse, R. Parlan (Astaman). Dalam suatu penggrebekan Parlan terpukul kepalanya, lalu dirawat oleh Rukmini, anak pak Lurah. Hal ini menimbulkan cemburu Gunawi, anak angkat Lurah yang menaruh hati pada Rukmini. Ternyata Gunawi adalah anak R. Bardan, ayah Parlan, dari istri kedua. Parlan kemudiah harus menghadapi Gunawi, karena dialah si Elang Darat."
"Ratna Moetoe Manikam (Djoela Djoeli Bintang Tiga)","Fantasy",1941,NA,"BW",NA,NA,NA,"The Teng Chun","Suska","Suska","Ratna Asmara, Astaman, Ali Yugo, Inoe Perbatasari, Louise Gunter, Aisah, Loedi","Ada tiga bersaudara: Ratna Mutu Manikam (Ratna Asmara), Laila Kesuma dan Kumala Juwita. Mereka ini penghuni di balik awan. Ratna dan Kumala berselisih karena sama-sama menginginkan pria sama, Sultan Darsyah Alam (Astaman). Kumala nekat melamar Darsyah, tapi ditolak. Karena dendam, Kumala memerintahkan jin dan peri untuk memusnahkan kerajaan Darsyah. Maksud ini didengar Laila dan disampaikan pada Ratna, lalu dilaporkan pada Bathara Guru. Jawabannya: itu cobaan bagi Darsyah yang telah digariskan bakal berjodoh dengan Ratna. Sultan memiliki cincin wasiat yang namanya juga Ratna Mutu Manikam. Bila cincin itu lepas dari jarinya, maka bakal terjadi bencana atas kerajaan. Bencana yang ditimbulkan Kumala, bisa diselesaikan Ratna dengan bantuan Laila."
"Soeara Berbisa","Drama",1941,NA,"BW",NA,NA,NA,"Ang Hock Liem","Wu Tsun","Djojopranoto","Rd Soekarno, Ratna Djoewita, Oedjang, Soehaena","Mitra dan Neng Mardinah saling jatuh cinta. Yang merasa tersisih, Mardjohan, menyebarkan fitnah bahwa Mitra anak perampok. Tak tahan, Mitra pergi ke luar kota dan bekerja pada sebuah perkebunan. Ternyata penguasa perkebunan itu Mardjohan. Sekali waktu Mardjohan mengalami kecelakaan. Ia selamat karena ditolong Mitra. Di rumah, ibu Mardjohan mengenali Mitra sebagai anaknya yang hilang. Mitra adalah adik kandung Mardjohan."
"Poelo Inten","Drama",1942,NA,"BW",NA,NA,NA,"Jo Kim Tjan",NA,NA,"Moh Mochtar, Djoeriah, Noersani, Ramli Bapet, Ramli Rasjid",NA
"Boenga Sembodja","Drama",1942,NA,"BW",NA,NA,NA,"Jo Kim Tjan","Moh Said HJ",NA,"Dhalia, Moh Mochtar, Tossin Effendi, Anwar, Entjoen, Ardi HS",NA
"Seribu Satu (1001) Malam","Drama",1942,NA,"BW",NA,NA,NA,"Jo Eng Sek","Wu Tsun",NA,NA,NA
"Berdjoang","Drama",1943,NA,"BW",NA,NA,NA,"Nippon Eiga Sha","Rd Ariffien","Rd Ariffien","Moh Mochtar, Sambas, Dhalia, Kartolo, Chatir Harro","Anang (Moch. Mochtar), Saman dan Ahmad (Chatir Harro) adalah tiga sahabat dari sebuah desa di Subang. Anang maupun Ahmad menaruh hati pada Hasanah (Dhalia), adik Saman. Waktu ada anjuran agar pemuda masuk heiho (tentara di masa pendudukan Jepang), Anang dan Saman mencatatkan diri, tapi Ahmad tidak. Anang diterima jadi tentara, sedang Saman ditolak karena tak memenuhi syarat. Ketika desa itu menyambut heiho (di antaranya Anang), terjadi pencurian yang dilakukan Ahmad. Hati Hasanah makin condong ke Anang, dan setia menunggu kekasihnya menyelesaikan tugas."
"Di Desa","Drama",1943,NA,"BW",NA,NA,NA,"Nippon Eiga Sha","Rustam St Palindih","Rustam St Palindih","Moh Mochtar, Garkiah, Epen, Endjek",NA
"Di Menara","Drama",1943,NA,"BW",NA,NA,NA,"Nippon Eiga Sha","Rustam St Palindih","Rustam St Palindih, B Koesoema (B Koerata)","Rd Soekarno, Garkiah, Epen, Endjek",NA
"Kemakmoeran","Drama",1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Keris Poesaka",NA,1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Djatoeh Berkait","Drama",1944,NA,"BW",NA,NA,NA,"Nippon Eiga Sha","B Koesoema",NA,"Astaman, Kartolo, Dimin, Hoesanah",NA
"Hoedjan","Drama",1944,NA,"BW",NA,NA,NA,NA,"Inoe Perbatasari","Inoe Perbatasari","Aboebakar Djoenaedi, Dhalia, ET Effendi, Garsia",NA
"Koeli dan Romoesha","Drama",1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mengemukakan kesan (seolah-olah) romusha lebih baik dari kuli di zaman penjajahan Belanda. Padahal, kuli itu adalah buruh yang dibayar, sedangkan romusha adalah kerja paksa dan telah menelan banyak korban."
"Anggrek Bulan","Action, Adventure",1948,NA,"BW",NA,NA,NA,"AA Denninghoff-Stelling","Andjar Asmara","RH Singgih, HV Quispel","Rd Soekarno, A Hamid Arief, Nila Djuwita, Iskandar Sucarno, Djauhari Effendi, Sutrisni, Rustam","Setelah bertahun-tahun mengembara, pelaut Atma (R Sukarno) pulang dan menemui ayahnya (Djauhari Effendy) sekarat, sementara adiknya, Halimah (Sutrisni), menghilang dan memutuskan ipertunangannya dengan Surya, sahabat Atma. Ia juga menemukan sepucuk surat yang belum selesai yang ditujukan pada Subrata (Iscandar Sucarno). Ditemani Surya, Atma lalu mendatangi Subrata, yang ternyata juga sudah menikahi Halimah. Subrata yang mendadak kaya itu, menyatakan bahwa ayah Atma berhutang padanya. Dibantu juga oleh Kati (Nila Djuwita) alias Anggrek Bulan, yang menjadi sekretaris Subrata, terbukti bahwa Subrata telah memeras dan memaksa ayahnya menggelapkan uang bank tempatnya bekerja untuk menutupi kekalahannya berjudi."
