"year","manufacturer","type","gearshift","fuel","distance","city","price"
2018,"TOYOTA","AVANZA","MANUAL","BENSIN",20000,"MALANG",1.75e+11
2014,"TOYOTA","AVANZA","OTOMATIS","BENSIN",102000,"BEKASI",1.2e+11
2014,"TOYOTA","AVANZA","MANUAL","BENSIN",40000,"MAKASSAR",1.4e+11
2014,"HONDA","MOBILIO","OTOMATIS","BENSIN",90000,"MAKASSAR",1.45e+11
2013,"TOYOTA","AVANZA","MANUAL","BENSIN",39106,"MAKASSAR",1.38e+11
2013,"HONDA","JAZZ","OTOMATIS","BENSIN",80000,"MAKASSAR",1.65e+11
2015,"TOYOTA","AVANZA","OTOMATIS","BENSIN",50000,"MAKASSAR",1.5e+11
2014,"HONDA","MOBILIO","OTOMATIS","BENSIN",50000,"MAKASSAR",1.45e+11
2016,"MITSUBISHI","PAJERO","OTOMATIS","SOLAR",35713,"MAKASSAR",4.25e+11
2015,"HONDA","BRIO","MANUAL","BENSIN",14000,"MAKASSAR",1.2e+11
2011,"MITSUBISHI","PAJERO","OTOMATIS","SOLAR",172932,"MAKASSAR",2.35e+11
2004,"HONDA","JAZZ","OTOMATIS","BENSIN",149145,"MAKASSAR",7.7e+10
2015,"TOYOTA","AVANZA","MANUAL","BENSIN",90000,"MAKASSAR",1.5e+11
2014,"MITSUBISHI","PAJERO","OTOMATIS","SOLAR",50000,"MAKASSAR",3.25e+11
2016,"TOYOTA","CALYA","OTOMATIS","BENSIN",30000,"MAKASSAR",1.23e+11
2015,"TOYOTA","AVANZA","MANUAL","BENSIN",40000,"MAKASSAR",1.5e+11
2016,"MITSUBISHI","PAJERO","OTOMATIS","SOLAR",30000,"MAKASSAR",4.65e+11
2017,"TOYOTA","FORTUNER","OTOMATIS","SOLAR",3000,"MAKASSAR",4.75e+11
2014,"HONDA","MOBILIO","OTOMATIS","BENSIN",90000,"MAKASSAR",1.45e+11
2015,"HONDA","BRIO","MANUAL","BENSIN",73300,"BANDUNG",1.05e+11
2015,"TOYOTA","RUSH","OTOMATIS","BENSIN",38600,"SURABAYA",1.6e+11
2005,"DAIHATSU","XENIA","MANUAL","BENSIN",15000,"JAKARTA PUSAT",6.8e+10
2009,"TOYOTA","KIJANG INNOVA","MANUAL","BENSIN",280000,"JAKARTA TIMUR",1.5e+11
2011,"DAIHATSU","XENIA","MANUAL","BENSIN",1e+05,"SURABAYA",1e+11
2015,"HONDA","JAZZ","OTOMATIS","BENSIN",60000,"SURABAYA",2.05e+11
2014,"SUZUKI","ERTIGA","MANUAL","BENSIN",24000,"SURABAYA",1.4e+11
2017,"TOYOTA","AVANZA","OTOMATIS","BENSIN",30000,"SURABAYA",1.75e+11
2013,"TOYOTA","YARIS","OTOMATIS","BENSIN",50000,"SURABAYA",1.38e+11
2016,"SUZUKI","ERTIGA","MANUAL","BENSIN",50000,"SURABAYA",1.55e+11
2016,"TOYOTA","AVANZA","OTOMATIS","BENSIN",30000,"SURABAYA",1.6e+11
2017,"HONDA","BRIO","OTOMATIS","BENSIN",25000,"SURABAYA",1.4e+11
2017,"HONDA","MOBILIO","OTOMATIS","BENSIN",50000,"SURABAYA",1.7e+11
2014,"NISSAN","GRAND","MANUAL","BENSIN",60000,"SURABAYA",1.35e+11
2016,"HONDA","MOBILIO","MANUAL","BENSIN",65000,"SURABAYA",1.6e+11
2017,"TOYOTA","YARIS","MANUAL","BENSIN",20000,"SURABAYA",1.98e+11
2012,"TOYOTA","AVANZA","MANUAL","BENSIN",90000,"SEMARANG",1.22e+11
2008,"TOYOTA","KIJANG INNOVA","OTOMATIS","SOLAR",134000,"SEMARANG",1.6e+11
2016,"TOYOTA","KIJANG INNOVA","OTOMATIS","SOLAR",85000,"SURABAYA",3.18e+11
2016,"HONDA","BRIO","MANUAL","BENSIN",36000,"SURABAYA",1.155e+11
